id	startTime	name	location
1	Wednesday, August 26, 2009, 7:30 P.M.	Festival Opening Concert	Elley-Long Music Center at St. Michael’s College
2	Friday, August 28, 2009, 7:30 P.M.	Festival Friday Concert	Elley-Long Music Center at St. Michael’s College
3	Sunday, August 30, 2009, 3:00 P.M.	Festival Closing Concert	Elley-Long Music Center at St. Michael’s College
4	Sunday, August 22, 2010, 3:00 P.M.	Festival Opening Concert	Elley-Long Music Center at St. Michael’s College
5	Wednesday, August 25, 2010, 7:30 P.M.	Ensembles from ECCO	Elley-Long Music Center at St. Michael’s College
6	Sunday, August 29, 2010, 3:00 P.M.	Festival Closing Concert	Elley-Long Music Center at Saint Michael’s College
7	Friday, August 27, 2010, 7:30 P.M.	An Evening in Russia	Elley-Long Music Center at Saint Michael’s College
8	Tuesday, August 24, 2010, 12:15 P.M.	Bach on Church	Firehouse Center for the Visual Arts, Church Street, Burlington
9	Thursday, August 26, 2010, 12:15 P.M.	Bach on Church	Firehouse Center for the Visual Arts, Church Street, Burlington
10	Tuesday, August 24, 2010, 3:15 P.M.	ECCOs Around Town – Family Concert	Fletcher Free Library, College Street, Burlington
11	Tuesday, August 24, 2010, 5:15 P.M.	ECCOs Around Town	Unitarian Universalist Church, Pearl and Church Streets, Burlington
12	Saturday, August 28, 2010, 1:00 P.M.	Virtuoso Showcase	Elley-Long Music Center at Saint Michael’s College
13	Sunday, August 21, 2011, 3:00 P.M.	The Poet’s Voice	Elley-Long Music Center at Saint Michael’s College
14	Sunday, August 24, 2014, 3:00 P.M.	Sunday Opening Concert	Elley-Long Music Center at St. Michael’s College
15	Wednesday, August 27, 2014, 7:30 P.M.	Festival Wednesday Concert	Elley-Long Music Center at St. Michael’s College
16	Friday, August 29, 2014, 7:30 P.M.	Festival Friday Concert	Elley-Long Music Center at St. Michael’s College
17	Sunday, August 31, 2014, 3:00 P.M.	Festival Closing Concert -- In honor of Ann B. Emery	Elley-Long Music Center at St. Michael’s College
18	Saturday, August 23, 2014, 12 noon	Noon on Stage -- French and German Art Song	Elley-Long Music Center at St. Michael’s College
19	Tuesday, August 26, 2014, 12 noon	Noon on Stage	Elley-Long Music Center at St. Michael’s College
20	Monday, August 25, 2014, Noon	Bach on Chuch	BCA Center
21	Thursday, August 28, 2014, Noon	Bach on Church	BCA Center
22	Saturday, August 30, 2014, 11:00 A.M.	Young Quartet Concert	Elley-Long Music Center at St. Michael’s College
23	Saturday, August 30, 2014, 3:00 P.M.	Sounding Board	Elley-Long Music Center at St. Michael’s College
24	Wednesday, August 24, 2011, 7:30 P.M.	In Living Color	Flynn Space, Flynn Center for the Performing Arts
25	Friday, August 26, 2011, 7:30 P.M.	East Meets West	Elley-Long Music Center at St. Michael’s College
26	Sunday, August 28, 2011, 3:00 P.M.	Echoes of the New World	Elley-Long Music Center at St. Michael’s College
27	Tuesday, August 23, 2011, 12:15 P.M.	Bach on Church	BCA Center
28	Thursday, August 25, 2011, 12:15 P.M.	Bach on Church	BCA Center
29	Saturday, August 27, 2011, 12 noon	Virtuoso Showcase	Elley-Long Music Center at St. Michael’s College
30	Tuesday, August 25, 2009, 12:15 P.M.	Bach on Church	Firehouse Art Gallery
31	Thursday, August 27, 2009, 12:15 P.M.	Bach on Church	Firehouse Art Gallery
32	Saturday, August 29, 2009, 12:15 P.M.	Virtuoso Showcase	Elley-Long Music Center at St. Michael’s College
33	Sunday, August 19, 2012, 3:00 P.M.	Festival Concert Series: Concert One	Elley-Long Music Center at St. Michael’s College
34	Monday, August 20, 2012, 7:30 pm	Plattsburgh Concert	Newman Center, Plattsburgh, NY
35	Tuesday, August 21, 2012, 7:30 P.M.	Chaconne Anyone?	Flynn Space, Flynn Center for the Performing Arts
36	Friday, August 24, 2012, 7:30 P.M.	Festival Concert Series: Concert Two	Elley-Long Music Center at St. Michael’s College
37	Sunday, August 26, 2012, 3:00 P.M.	Festival Concert Series: Concert Three	Elley-Long Music Center at St. Michael’s College
38	Saturday, August 25, 2012, 12:00 P.M.	Virtuoso Showcase	Elley-Long Music Center at St. Michael’s College
39	Wednesday, August 22, 2012 1:00 P.M.	Glazer Plays Bach	Elley-Long Music Center at St. Michael’s College
40	Tuesday, August 21, 2012 12:15 P.M.	Bach on Church	BCA Center
41	Thursday, August 23, 2012 12:15 P.M.	Bach on Church	BCA Center
42	Sunday, August 18, 2013, 3:00 P.M.	Opening Concert	Elley-Long Music Center at St. Michael’s College
43	Monday, August 19, 2013, 12 noon	Noon on Stage	Elley-Long Music Center at St. Michael’s College
44	Tuesday, August 20, 2013, 12:15 P.M.	Bach on Church	BCA Center
45	Tuesday, August 20, 2013, 7:30 P.M.	The Virtuoso Guitar -- An evening with Jason Vieaux	Flynn Space, Flynn Center for the Performing Arts
46	Wednesday, August 21, 2013, 12 noon	Noon on Stage	Elley-Long Music Center at St. Michael’s College
47	Thursday, August 22, 2013, 12:15 P.M.	Bach on Church	BCA Center
48	Friday, August 23, 2013, 7:30 P.M.	Friday Concert	Elley-Long Music Center at St. Michael’s College
49	Saturday, August 24, 2013, 12 noon	Virtuoso Showcase	Elley-Long Music Center at St. Michael’s College
50	Saturday, August 24, 2013, 3:30 P.M.	Sounding Board	Elley-Long Music Center at St. Michael’s College
51	Sunday, August 25, 2013, 3:00 P.M.	Closing Concert -- In honor of Ann Emery	Elley-Long Music Center at St. Michael’s College
52	Sunday, August 30, 2015, 3:00pm	Closing Concert -- In honor of Ann B. Emery	Elley-Long Music Center at St. Michael’s College
53	Saturday, August 29, 2015, 11:00am	Young Trio-in-Residence Concert	Elley-Long Music Center at St. Michael’s College
54	Saturday, August 29, 2015, 1:30pm	Kit Armstrong On Stage	Elley-Long Music Center at St. Michael’s College
55	Saturday, August 29, 2015, 3:00pm	Sounding Board	Elley-Long Music Center at St. Michael’s College
56	Friday, August 28, 2015, 7:30pm	Festival Friday Concert	Elley-Long Music Center at St. Michael’s College
57	Thursday, August 27, 2015, 12:15pm	Bach in Church with Wenting Kang, viola	Cathedral Church of St. Paul
58	Wednesday, August 26, 2015, 7:30pm	A Baroque Evening	Flynn Space, Flynn Center for the Performing Arts
59	Tuesday, August 25, 2015, 12:15pm	Bach In Church with Deborah Pae, cello	Cathedral Church of St. Paul
60	Monday, August 24, 2015, 12:00pm	Noon on Stage	Elley-Long Music Center at St. Michael’s College
61	Sunday, August 23, 2015, 3:00 P.M.	Festival Opening Concert	Elley-Long Music Center at St. Michael’s College
62	Sunday, August 21, 2016, 3:00 P.M.	Festival Opening Concert 1	Elley-Long Music Center at St. Michael’s College
63	Sunday, August 21, 2016, 4:15 P.M.	Festival Opening Concert 2	Elley-Long Music Center at St. Michael’s College
64	Sunday, August 21, 2016, 5:30 P.M.	Festival Opening Concert 3	Elley-Long Music Center at St. Michael’s College
65	Tuesday, August 23, 2016, 12:15 P.M.	Bach in Church	Cathedral Church of St. Paul
66	Tuesday, August 23, 2016, 4:30 P.M.	Sounding Board Part 1	Elley-Long Music Center at St. Michael’s College
67	Wednesday, August 24, 2016, 7:30 P.M.	Festival Wednesday Concert - The Creative Journey: Variations Concert	Flynn Space, Flynn Center for the Performing Arts
68	Thursday, August 25, 2016, 2:00 P.M.	Sounding Board Part 2	Elley-Long Music Center at St. Michael’s College
69	Friday, August 26, 2016, 7:30 P.M.	Festival Friday Concert	Elley-Long Music Center at St. Michael’s College
70	Saturday, August 27, 2016, 11:00 A.M.	Young Trio-in-Residence Concert	Elley-Long Music Center at St. Michael’s College
71	Sunday, August 28, 2016, 3:00 P.M.	Festival Closing Concert	Elley-Long Music Center at St. Michael’s College
