id	piece_id	order	name
2	5	1010	Ophelia’s Song
3	5	1020	Gamayun, Bird of Prophecy
4	5	1030	We Were Together
5	5	1040	The Town Sleeps
6	5	1050	The Storm
7	5	1060	Secret Signs
8	5	1070	Music
9	6	1080	Lento maestoso
10	6	1090	Poco Adagio
11	6	1100	Andante
12	6	1110	Andante moderato
13	6	1120	Allegro
14	6	1130	Lento maestoso
15	8	1140	I. Blue with all malice...
16	8	1150	II. I hear the irregular snap! snap!
17	8	1160	III. (Des Prez) Mille regretz de vous abandonner...
18	8	1170	IV. ...five more bullets
19	8	1180	V. Oseh shalom bim’romav hu ya’aseh shalom...
20	9	1190	I. Vivo (merkwürdige Pirouetten des Kapellmeisters Johannes Kreisler)
21	9	1200	II. Molto semplice, piano e legato (E.*: der begrenzte Kreis ...)
22	9	1210	III. Feroce, agitato (... und wieder zuckt es schmerzlich F.* die Lippen...)
23	9	1220	IV. Calmo, scorrevole (Felhö valék, már süt a nap ...) (töredék-töredék)
24	9	1230	V. Presto, In der Nacht
25	9	1240	VI. Adagio, poco andante, Abschied (Meister Raro entdeckt Guillaume de Machaut)
26	10	1250	In der Fremde - In Foreign Lands
27	10	1260	Intermezzo - Intermezzo
28	10	1270	Waldesgespräch - Dialogue in the Woods
29	10	1280	Die Stille - The Silence
30	10	1290	Mondnact - Moonlit Night
31	10	1300	Schöne Fremde - Beautiful Foreign Lands
32	10	1310	Auf einer Burg - In a Stronghold
33	10	1320	In der Fremde - In Foreign Lands
34	10	1330	Wehmut - Melancholy
35	10	1340	Zwielicht - Twilight
36	10	1350	Im Walde - In the Forest
37	10	1360	Frühlingsnacht - Spring Night
38	11	1370	I. Liturgie de cristal
39	11	1380	II. Vocalise, pour l’Ange qui annonce la fin du Temps
40	11	1390	III. Abîme des oiseaux
41	11	1400	IV. Intermède
42	11	1410	V. Louange à l’Éternité de Jésus
43	11	1420	VI. Danse de la fureur, pour les sept trompettes
44	11	1430	VII. Fouillis d’arcs-en-ciel, pour l’Ange qui annonce la fin du Temps
45	11	1440	VIII. Louange à l’Immortalité de Jésus
46	13	1450	Allegretto scherzando
47	13	1460	Tempo di minuetto, grazioso
48	13	1470	Allegretto scherzando
49	13	1480	Andante con moto
50	13	1490	Poco allegro
51	14	1500	Allegro ma non troppo
52	14	1510	Adagio
53	14	1520	Scherzo: Presto - Trio: Andante sostenuto
54	14	1530	Allegretto
55	16	1540	Allegro aperto
56	16	1550	Adagio
57	16	1560	Rondo: Tempo di minuetto
58	17	1570	Pezzo in forma di Sonatina
59	17	1580	Valse
60	17	1590	Élégie
61	17	1600	Finale (Tema Russo)
62	18	1610	Moderato
63	18	1620	Andantino
64	18	1630	Allegro
65	19	1640	Allegro non troppo
