id	first	last	name	instrument	notes
25	Jeewon	Park	Jeewon Park	piano	
26	Ignat	Solzhenitsyn	Ignat Solzhenitsyn	piano	
27	Hyunah	Yu	Hyunah Yu	soprano	
28	Soovin	Kim	Soovin Kim	violin	
29	Alisa	Weilerstein	Alisa Weilerstein	cello	
31	Jennifer	Frautschi	Jennifer Frautschi	violin	
33	Edward	Arron	Edward Arron	cello	
34	Hsin-Yun	Huang	Hsin-Yun Huang	viola	
35	David	Shifrin	David Shifrin	clarinet	
48	East Coast	Chamber Orchestra (ECCO)	East Coast Chamber Orchestra (ECCO)		
49	Annaliesa	Place	Annaliesa Place	violin	
50	Ayano	Ninomiya	Ayano Ninomiya	violin	
51	Beth	Guterman	Beth Guterman	viola	
52	Daniel	McDonough	Daniel McDonough	cello	
53	Denise	Djokic	Denise Djokic	cello	
54	Jonathan	Vinocour	Jonathan Vinocour	viola	
55	Maurycy	Banaszek	Maurycy Banaszek	viola	
56	Michi	Wiancko	Michi Wiancko	violin	
57	Nelson	Lee	Nelson Lee	violin	
58	Tom	Kraines	Tom Kraines	cello	
59	William	Tilley	William Tilley	bass	
60	Susie	Park	Susie Park	violin	
61	Colin	Carr	Colin Carr	cello	
62	Matan	Porat	Matan Porat	piano	
63	Eric	Ruske	Eric Ruske	horn	
64	Na-Young	Baek	Na-Young Baek	cello	
65	Katie	Jordan	Katie Jordan	horn	
66	Clancy	Newman	Clancy Newman	cello	
67	Elena	Urioste	Elena Urioste	violin	
68	Evan	Premo	Evan Premo	double bass	
69	Helen	Huang	Helen Huang	piano	
70	John	Dalley	John Dalley	violin	
71	Teng	Li	Teng Li	viola	
72	Marcy	Rosen	Marcy Rosen	cello	
73	Ieva	Jokubaviciute	Ieva Jokubaviciute	piano	
74	Paul	Neubauer	Paul Neubauer	viola	
75	Wiliam	Bolcom	Wiliam Bolcom	piano	
76	Joan	Morris	Joan Morris	mezzo-soprano	
77	Sarah	Shafer	Sarah Shafer	soprano	
78	Randall	Scarlata	Randall Scarlata	baritone	
79	Ellen	Hwangbo	Ellen Hwangbo	piano	
80	Romie	de Guise-Langlois	Romie de Guise-Langlois	clarinet	
81	Bella	Hristova	Bella Hristova	violin	
82	Peter	Stumpf	Peter Stumpf	cello	
83	Shai	Wosner	Shai Wosner	piano	
84	Leon	Botstein	Leon Botstein	guest speaker	
85	Gloria	Chien	Gloria Chien	piano	
86	Cori	Ellison	Cori Ellison	guest speaker	
87	Alexi	Kenney	Alexi Kenney	violin	
88	Caroline	Goulding	Caroline Goulding	violin	
89	Steven 	Laraia 	Steven  Laraia 	viola	
90	Emily	Taubl	Emily Taubl	cello	
91	Natasha	Brofsky	Natasha Brofsky	cello	
92	Mark	Neikrug	Mark Neikrug	Distinguished Composer-in-Residence	
93	David	Ludwig	David Ludwig	Composer-in-Residence	
94	Katerina	Kramarchuk	Katerina Kramarchuk	Young Composer	
95	Andrés	Martínez de Velasco	Andrés Martínez de Velasco	Young Composer	
96	Zach	Sheets	Zach Sheets	Young Composer	
97	Joshua	Smith	Joshua Smith	flute	
98	Eduardo	Leandro	Eduardo Leandro	marimba	
99	Milena	Pajaro-van de Stadt	Milena Pajaro-van de Stadt	viola	
100	Sae	Chonabayashi	Sae Chonabayashi	violin	
101	Hye-Jin	Kim	Hye-Jin Kim	violin	
102	Arnold	Steinhardt	Arnold Steinhardt	violin	
103	Misha	Armory	Misha Armory	viola	
104	Burchard	Tang	Burchard Tang	viola	
105	Marc	Johnson	Marc Johnson	cello	
106	Sophie	Shao	Sophie Shao	cello	
107	Tara Helen	O’Connor	Tara Helen O’Connor	flute	
108	Jonathan	Biss	Jonathan Biss	piano	
109	Frank	Glazer	Frank Glazer	piano	
110	Maho Sone	Grazzini	Maho Sone Grazzini	harpsichord	
111	Cameron	Zweber	Cameron Zweber	violin	2012 VYO Young Quartet in Residence
112	David	Horak	David Horak	violin	2012 VYO Young Quartet in Residence
113	Amanda	Milne	Amanda Milne	viola	2012 VYO Young Quartet in Residence
114	Noah	Marconi	Noah Marconi	cello	2012 VYO Young Quartet in Residence
116	Gilles	Vonsattel	Gilles Vonsattel	piano	
117	Jason	Vieaux	Jason Vieaux	guitar	
118	Nayoung	Baek	Nayoung Baek	cello	
119	Efe	Baltacigil	Efe Baltacigil	cello	
120	Philip	Setzer	Philip Setzer	violin	
121	Julianne	Lee	Julianne Lee	viola	
122	Christopher	Costanza	Christopher Costanza	cello	
123	Ricardo	Morales	Ricardo Morales	clarinet	
124	Carol	McGonnell	Carol McGonnell	clarinet	
125	Kit	Armstrong	Kit Armstrong	piano	
126	Emi	Ferguson	Emi Ferguson	flute	
127	Mary	Lynch	Mary Lynch	oboe	
128	Paul	Demers	Paul Demers	clarinet	
129	Daniel	Matsukawa	Daniel Matsukawa	bassoon	
130	Frank	Rosenwein	Frank Rosenwein	oboe	
131	Jose	Franch-Ballester	Jose Franch-Ballester	clarinet	
132	William	Short	William Short	bassoon	
133	Jennifer	Montone	Jennifer Montone	horn	
134	Richard	King	Richard King	horn	
135	Joseph	Conyers	Joseph Conyers	double bass	
136	Robyn	Bollinger	Robyn Bollinger	violin	2015 Young Trio
137	Wenhong	Luo	Wenhong Luo	viola	2015 Young Trio
138	SuJin	Lee	SuJin Lee	cello	2015 Young Trio
139	Jessica	Lee	Jessica Lee	violin	
140	Wenting	Kang	Wenting Kang	viola	
141	Deborah	Pae	Deborah Pae	cello	
142	Radovan	Vlatkovic	Radovan Vlatkovic	horn	
143	Alan	Bise	Alan Bise	recording producer and engineer
144	Bruno	Price	Bruno Price	guest speaker
145	Danny	Koo	Danny Koo	violin
146	Frank	Morelli	Frank Morelli	bassoon
147	Fred	Sherry	Fred Sherry	cello
148	Ian	Rosenbaum	Ian Rosenbaum	percussion
149	Jay	Campbell	Jay Campbell	cello
150	Julia	Yang	Julia Yang	cello
151	Kurt	Muroki	Kurt Muroki	double bass
152	Lucy	Shelton	Lucy Shelton	soprano
153	Marc-André	Hamelin	Marc-André Hamelin	piano
154	Mark	Howe	Mark Howe	organ
155	Michael	Parloff	Michael Parloff	guest speaker
156	Nokuthula	Ngwenyama	Nokuthula Ngwenyama	viola
157	Rebecca	Anderson	Rebecca Anderson	violin
158	Ron	Forrester	Ron Forrester	bow maker
159	Steven	Copes	Steven Copes	violin
160	Manu	Fieber	Manu Fieber	production
161	Hannah	Sweet	Hannah Sweet	production
