concert_id	musician_id	instrument	order	piece_id	listing	concert_date
1	25	piano	1030	3	Jeewon Park, piano	8/26/2009
1	26	piano	1040	3	Ignat Solzhenitsyn, piano	8/26/2009
1	25	piano	1050	4	Jeewon Park, piano	8/26/2009
1	26	piano	1060	4	Ignat Solzhenitsyn, piano	8/26/2009
1	27	soprano	1070	5	Hyunah Yu, soprano	8/26/2009
1	28	violin	1080	5	Soovin Kim, violin	8/26/2009
1	29	cello	1090	5	Alisa Weilerstein, cello	8/26/2009
1	31	violin	1110	6	Jennifer Frautschi, violin	8/26/2009
1	33	cello	1120	6	Edward Arron, cello	8/26/2009
1	25	piano	1130	6	Jeewon Park, piano	8/26/2009
2	34	viola	1140	8	Hsin-Yun Huang, viola	8/28/2009
2	35	clarinet	1150	8	David Shifrin, clarinet	8/28/2009
2	25	piano	1160	8	Jeewon Park, piano	8/28/2009
2	34	viola	1170	9	Hsin-Yun Huang, viola	8/28/2009
2	35	clarinet	1180	9	David Shifrin, clarinet	8/28/2009
2	25	piano	1190	9	Jeewon Park, piano	8/28/2009
2	27	soprano	1200	10	Hyunah Yu, soprano	8/28/2009
2	26	piano	1210	10	Ignat Solzhenitsyn, piano	8/28/2009
3	28	violin	1240	12	Soovin Kim, violin	8/30/2009
3	34	viola	1250	12	Hsin-Yun Huang, viola	8/30/2009
3	33	cello	1260	12	Edward Arron, cello	8/30/2009
3	28	violin	1270	13	Soovin Kim, violin	8/30/2009
3	31	violin	1280	13	Jennifer Frautschi, violin	8/30/2009
3	33	cello	1290	13	Edward Arron, cello	8/30/2009
3	25	harmonium	1300	13	Jeewon Park, harmonium	8/30/2009
3	31	violin	1310	14	Jennifer Frautschi, violin	8/30/2009
3	28	violin	1320	14	Soovin Kim, violin	8/30/2009
3	34	viola	1330	14	Hsin-Yun Huang, viola	8/30/2009
3	29	cello	1340	14	Alisa Weilerstein, cello	8/30/2009
3	33	cello	1350	14	Edward Arron, cello	8/30/2009
4	48		1360	15	East Coast Chamber Orchestra (ECCO), 	8/22/2010
4	48		1370	16	East Coast Chamber Orchestra (ECCO), 	8/22/2010
4	28	violin	1380	16	Soovin Kim, violin	8/22/2010
4	48		1390	17	East Coast Chamber Orchestra (ECCO), 	8/22/2010
5	49	violin	1400	20	Annaliesa Place, violin	8/25/2010
5	50	violin	1410	20	Ayano Ninomiya, violin	8/25/2010
5	55	viola	1420	20	Maurycy Banaszek, viola	8/25/2010
5	52	cello	1430	20	Daniel McDonough, cello	8/25/2010
5	50	violin	1440	21	Ayano Ninomiya, violin	8/25/2010
5	49	violin	1450	21	Annaliesa Place, violin	8/25/2010
5	55	viola	1460	21	Maurycy Banaszek, viola	8/25/2010
5	52	cello	1470	21	Daniel McDonough, cello	8/25/2010
5	59	bass	1480	21	William Tilley, bass	8/25/2010
5	60	violin	1490	18	Susie Park, violin	8/25/2010
5	56	violin	1500	18	Michi Wiancko, violin	8/25/2010
5	52	cello	1510	18	Daniel McDonough, cello	8/25/2010
5	59	bass	1520	18	William Tilley, bass	8/25/2010
5	57	violin	1530	19	Nelson Lee, violin	8/25/2010
5	56	violin	1540	19	Michi Wiancko, violin	8/25/2010
5	51	viola	1550	19	Beth Guterman, viola	8/25/2010
5	54	viola	1560	19	Jonathan Vinocour, viola	8/25/2010
5	53	cello	1570	19	Denise Djokic, cello	8/25/2010
5	58	cello	1580	19	Tom Kraines, cello	8/25/2010
7	28	violin	1590	27	Soovin Kim, violin	8/27/2010
7	61	cello	1610	27	Colin Carr, cello	8/27/2010
7	26	piano	1620	27	Ignat Solzhenitsyn, piano	8/27/2010
7	62	piano	1630	28	Matan Porat, piano	8/27/2010
6	62	piano	1640	24	Matan Porat, piano	8/29/2010
6	26	piano	1650	24	Ignat Solzhenitsyn, piano	8/29/2010
6	28	violin	1660	25	Soovin Kim, violin	8/29/2010
6	63	horn	1670	25	Eric Ruske, horn	8/29/2010
6	62	piano	1680	25	Matan Porat, piano	8/29/2010
