29	1		Goldberg Variations for string trio	BWV 988	1741	Goldberg Variations for string trio BWV 988 (1741)
30	1		Cello Suite No. 6 in D major	BWV 1012	pre 1720	Cello Suite No. 6 in D major BWV 1012 (pre 1720)
58	1		Suite No. 2 in d minor	BWV 1008	ca. 1720	Suite No. 2 in d minor BWV 1008 (ca. 1720)
61	1		Suite No. 5 in c minor	BWV 1011	ca. 1720	Suite No. 5 in c minor BWV 1011 (ca. 1720)
77	1		Partita for Violin in D minor	BWV 1004	1720	Partita for Violin in D minor BWV 1004 (1720)
78	1		Partita for Flute in A minor	BWV 1013	1718	Partita for Flute in A minor BWV 1013 (1718)
91	1		Brandenburg Concerto No. 5 in D Major	BWV 1050	1721	Brandenburg Concerto No. 5 in D Major BWV 1050 (1721)
93	1		Ricercar a 6 from The Musical Offering	BWV 1079	1747	Ricercar a 6 from The Musical Offering BWV 1079 (1747)
98	1		Gamba Sonata in D Major	BWV 1028	ca. 1740	Gamba Sonata in D Major BWV 1028 (ca. 1740)
106	1		Toccata in D major	BWV 912		Toccata in D major BWV 912 ()
112	1		Sonata No. 3 in C Major for solo violin	BWV 1005	1720	Sonata No. 3 in C Major for solo violin BWV 1005 (1720)
114	1		Suite No. 1 in G Major for solo cello	BWV 1007	1717-1723	Suite No. 1 in G Major for solo cello BWV 1007 (1717-1723)
115	1		Suite No. 6 in D Major for solo cello	BWV 1012	1717-1723	Suite No. 6 in D Major for solo cello BWV 1012 (1717-1723)
128	1	83	Lute Suite No. 1	BWV 996	1708	Lute Suite No. 1 BWV 996 (1708)
171	1		Partita No. 1 in e	BWV 825	1726	Partita No. 1 in e BWV 825 (1726)
174	1		Trio Sonata in c minor from the Musical Offering	BWV 1079	1747	Trio Sonata in c minor from the Musical Offering BWV 1079 (1747)
26	2		Piano Trio in B-flat major "Archduke"	Op. 97	1810-11	Piano Trio in B-flat major "Archduke" Op. 97 (1810-11)
42	2		Piano trio in E-flat	Op. 1, No. 1	1791	Piano trio in E-flat Op. 1, No. 1 (1791)
104	2		Grosse Fuge for string quartet	Op. 133	1826	Grosse Fuge for string quartet Op. 133 (1826)
107	2		Sonata in C minor, “Pathétique”	Op. 13		Sonata in C minor, “Pathétique” Op. 13 ()
123	2		Sonata No. 14 in C-sharp, “Moonlight”	Op. 27, No. 2		Sonata No. 14 in C-sharp, “Moonlight” Op. 27, No. 2 ()
163	2		String Trio in c	Op. 9 no. 3	1798	String Trio in c Op. 9 no. 3 (1798)
167	2		Quintet in E-flat	Op. 16	1796	Quintet in E-flat Op. 16 (1796)
169	2		Septet in E-flat	Op. 20	1799	Septet in E-flat Op. 20 (1799)
176	2		Piano Trio in B-flat	Op. 11	1798	Piano Trio in B-flat Op. 11 (1798)
19	3		String Sextet No. 2 in G major	Op. 36	1864-1865	String Sextet No. 2 in G major Op. 36 (1864-1865)
24	3		Liebeslieder Waltzes for piano four hands	Op. 52a	1869	Liebeslieder Waltzes for piano four hands Op. 52a (1869)
52	3		Trio for clarinet, cello, and piano in a minor	Op. 114	1891	Trio for clarinet, cello, and piano in a minor Op. 114 (1891)
74	3		Sonata for Viola and Piano No.1 in F minor	Op. 120	1894	Sonata for Viola and Piano No.1 in F minor Op. 120 (1894)
76	3		String Quintet No. 2 in G major	Op. 111	1890	String Quintet No. 2 in G major Op. 111 (1890)
178	3		Horn Trio in E-flat	Op. 40	1865	Horn Trio in E-flat Op. 40 (1865)
6	4		Piano Trio in E minor "Dumky"	Op. 90	1891	Piano Trio in E minor "Dumky" Op. 90 (1891)
13	4		Bagatelles	Op. 47	1878	Bagatelles Op. 47 (1878)
21	4		Nocturne in B major	Op. 40	1882	Nocturne in B major Op. 40 (1882)
41	4		String Sextet in A major	Op. 48	1878	String Sextet in A major Op. 48 (1878)
28	5		The Battleship Potemkin		1925	The Battleship Potemkin  (1925)
15	6	24	Variations on La Follia for String Orchestra		1729	Variations on La Follia for String Orchestra  (1729)
9	7		Hommage à R. Sch.	Op. 15d	1990	Hommage à R. Sch. Op. 15d (1990)
25	8		Trio for Violin, Horn and Piano “Hommage à Brahms”		1982	Trio for Violin, Horn and Piano “Hommage à Brahms”  (1982)
