id	type_id	start	end	name	location_id	notes	
1	1	August 16, 2018, 3:00pm	August 16, 2018, 4:00pm	Bartok 1	4	Soovin, Shifrin, Gloria
2	1	August 16, 2018, 3:00pm	August 16, 2018, 4:00pm	Schubert 1	5	Hyunah, Radovan, Jeewon
3	1	August 16, 2018, 4:15pm	August 16, 2018, 6:15pm	Strauss 1	1	Soovin, Shifrin, Radovan, Frank, Kurt
4	1	August 16, 2018, 1:00pm	August 16, 2018, 3:00pm	Schumann 1	4	Hyunah, Gloria
5	1	August 16, 2018, 6:30pm	August 16, 2018, 8:30pm	Beethoven 1	1	Soovin, Shifrin, Radovan, Frank, Kurt, Thula, Ed
6	4	August 16, 2018, 6:30pm		Piano Delivery	2	
7	4	August 17, 2018, 8am	August 17, 2018, 10am	Piano Delivery/Allan Tuning	2	
8	4	August 18, 2018, 8am	August 18, 2018, 9am	Daily Piano Tuning	2	
9	4	August 19, 2018, 8am	August 19, 2018, 9am	Daily Piano Tuning	2	
10	4	August 20, 2018, 8am	August 20, 2018, 9am	Daily Piano Tuning	2	
11	4	August 21, 2018, 8am	August 21, 2018, 9am	Daily Piano Tuning	2	
12	4	August 22, 2018, 8am	August 22, 2018, 9am	Daily Piano Tuning	2	
13	4	August 23, 2018, 8am	August 23, 2018, 9am	Daily Piano Tuning	2	
14	4	August 24, 2018, 8am	August 24, 2018, 9am	Daily Piano Tuning	2	
15	4	August 25, 2018, 8am	August 25, 2018, 9am	Daily Piano Tuning	2	
16	4	August 26, 2018, 8am	August 26, 2018, 9am	Daily Piano Tuning	2	
17	4	August 17, 2018, 9:00am	August 17, 2018, 12:30pm	Alan Bise Set Up	2	
18	1	August 17, 2018, 10:00am	August 17, 2018, 10:50am	Shifrin Recital 1	2	Shifrin, Gloria
19	1	August 17, 2018, 11:00am	August 17, 2018, 12:00pm	Bartok 2	2	Soovin, Shifrin, Gloria
20	3	August 17, 2018, 11:30am		Lunch	9	
21	1	August 17, 2018, 12:30pm	August 17, 2018, 2:30pm	Schumann 2	1	Hyunah, Gloria
22	1	August 17, 2018, 12:30pm	August 17, 2018, 2:30pm	Strauss 2	2	Soovin, Shifrin, Radovan, Frank, Kurt
23	1	August 17, 2018, 2:45pm	August 17, 2018, 5:15pm	Beethoven 2	2	Soovin, Shifrin, Radovan, Frank, Kurt, Thula, Ed
24	1	August 17, 2018, 5:30pm	August 17, 2018, 6:30pm	Schubert 2	1	Hyunah, Radovan, Jeewon
25	1	August 17, 2018, 5:30pm	August 17, 2018, 6:30pm	Michael Parloff Sound Check	2	
26	3	August 17, 2018, 7:00pm		Artists Dinner	10	Host: Carolyn Bever
27	5	August 18, 2018, 9:00am	August 18, 2018,  9:45am	Strings Masterclasses	2	
28	5	August 18, 2018, 9:00am	August 18, 2018, 10:30am	Strings Masterclasses	1	
29	5	August 18, 2018, 9:00am	August 18, 2018, 10:30am	Strings Masterclasses	3	
30	1	August 18, 2018, 10am	August 18, 2018, 10:45am	Schubert Dress	2	Hyunah, Radovan, Jeewon
31	1	August 18, 2018, 10:45am	August 18, 2018, 11:15am	Schumann Dress	2	Hyunah, Gloria
32	1	August 18, 2018, 9:30am	August 18, 2018, 10:30am	Shifrin Recital 2	15	Shifrin, Gloria
33	6	August 18, 2018, 12:00pm	August 18, 2018, 1:30pm	Indepth: Schubert’s Lieder: A Fusion of Music and Poetry	2	Michael Parlof, Guest Speaker
34	9	August 18, 2018, 2:00pm	August 18, 2018, 3:00pm	Poetry in Music: Schubert & Schuman Songs	2	This concert will be recorded
35	7	August 18, 2018, 4:00pm	August 18, 2018, 5:00pm	Opening Festival Reception	1	What is the proper start time for this event?
36	1	August 18, 2018, 3:15pm	August 18, 2018, 5:15pm	Pierrot WITHOUT Josh	7	Shifrin, Fred, Steve, Jeewon, Lucy No Josh
37	8	August 18, 2018, 5:30pm	August 18, 2018, 6:30pm	Strauss 3	2	Soovin, Shifrin, Radovan, Frank, Kurt
38	8	August 18, 2018, 6:30pm	August 18, 2018, 7:45pm	Beethoven 3	2	Soovin, Shifrin, Radovan, Frank, Kurt, Thula, Ed
39	8	August 18, 2018, 8:00pm	August 18, 2018, 9:00pm	Bartok 3	2	Soovin, Shifrin, Gloria
40	8	August 19, 2018, 10:00am	August 19, 2018, 10:40am	Bartok Dress	2	Soovin, Shifrin, Gloria
41	8	August 19, 2018, 10:50am	August 19, 2018, 11:30am	Strauss Dress	2	Soovin, Shifrin, Radovan, Frank, Kurt
42	8	August 19, 2018, 11:40am	August 19, 2018, 12:40pm	Beethoven Dress	2	Soovin, Shifrin, Radovan, Frank, Kurt, Thula, Ed
43	1	August 19, 2018, 12:50pm	August 19, 2018, 1:15pm	Schubert Dress	2	Hyunah, Radovan, Jeewon
44	5	August 19, 2018, 2:15pm	August 19, 2018, 2:45pm	Pre-concert Talk	2	
45	6	August 19, 2018, 3:00pm	August 19, 2018, 5:00pm	Mainstage Concert: Sounds of the Wind	2	
46	5	August 19, 2018, 5:15pm	August 19, 2018, 5:45pm	Meet the Artists	2	
47	7	August 19, 2018, 5:15pm	August 19, 2018, 6:15pm	10th Anniversary Reception	1	
48	1	August 19, 2018, 5:00pm	August 19, 2018, 6:30pm	Pierrot WITHOUT Shifrin	7	Fred, Josh, Steve, Jeewon, Lucy
49	1	August 20, 2018, 10:00am	August 20, 2018, 11:30am	Shifrin Dress	4	
50	1	August 20, 2018, 10:00am	August 20, 2018, 11:45am	Kafka Rehearsal	5	Or Orchestra
51	1	August 20, 2018, 10:00am	August 20, 2018, 11:30am	Tower Petroushkates 1	2	Josh, Fred, Steve, Ellen, Romie
52	9	August 20, 2018, 12:00pm	August 20, 2018, 1pm	Artist Spotlight: David Shifirn	4	David Shifrin, clarinet, Gloria Chien, piano
53	5	August 20, 2018, 1:30pm	August 20, 2018, 2:30pm	Kafka Quartet Masterclass with Ed Arron	4	Beethoven Quartet in E-flat Major, Op. 74 "Harp"
54	4	August 20, 2018, 10am	August 20, 2018, 11:30am	Prepare St. Paul’s	8	
55	1	August 20, 2018, 12:00pm	August 20, 2018, 1:00pm	Bach Arias 1	8	Hyunah, Josh, Ed, Mark – set up ready
56	1	August 20, 2018, 2:00pm	August 20, 2018, 3:00pm	Ludwig Paganiniana 1	2	Soovin, Bella, Ellen, Ian, Romie, Josh, Fred
57	1	August 20, 2018, 3:30pm	August 20, 2018, 4:30pm	Alex 1	7	with piano?  Romie, Danny, Gloria
58	1	August 20, 2018, 4:45pm	August 20, 2018, 5:45pm	Wei 1	7	with piano? Bella, Romie, Julia, Ellen
59	1	August 20, 2018, 3:30pm	August 20, 2018, 4:30pm	Nick 1	7	without piano? Becky, Soovin, Steve L, Ed
60	9	August 20, 2018, 5:15pm		VYO Performance	2	Soovin, Danny, Steve L., Ed
61	9	August 20, 2018, 5:15pm		VYO Sectionals	1	Romie, Ian
62	1	August 20, 2018, 3:30pm	August 20, 2018, 8:30pm	Pierrot	7	David, Fred, Josh, Steve, Jeewon, Lucy
63	1	August 20, 2018, 7:00pm	August 20, 2018, 8:00pm	Cowell 1	2	Bella, Ellen, Ian
64	1	August 21, 2018, 10:00am	August 21, 2018, 10:30am	Bach Cello Solo	8	Ed
65	1	August 21, 2018, 10:30am	August 21, 2018, 11:30am	Bach Dress	8	Hyunah, Josh, Ed, Mark
66	1	August 21, 2018, 10:00am	August 21, 2018, 11:30am	Ravel 1	1	Soovin, Jay
67	1	August 21, 2018, 10:00am	August 21, 2018, 11:30am	Cowell 2	2	Bella, Ian, Ellen
68	9	August 21, 2018, 12:15pm	August 21, 2018, 1pm	Bach-in-Church	8	
69	5	August 21, 2018, 2:30pm	August 21, 2018, 3:30pm	David’s Inside Pitch, Beginnings: The Modernists	1	
70	5	August 21, 2018, 4:30pm	August 21, 2018, 5:30pm	Sounding Board I	1	Bella and Ellen go last at 5pm
71	1	August 21, 2018, 3:00pm	August 21, 2018, 8:00pm	Pierrot	2	David, Fred, Josh, Steve, Jeewon, Lucy
72	1	August 21, 2018, 2:00pm	August 21, 2018, 4:30pm	Mendelssohn 1	4	Bella, Ellen, Jay
73	1	August 21, 2018, 4:45pm	August 21, 2018, 5:45pm	Ravel  2	1	Soovin, Jay
74	5	August 22, 2018, 10:00am	August 22, 2018, 11am	David’s Inside Pitch, Endings: The Post-Modernists	1	
75	1	August 22, 2018, 10:00am	August 22, 2018, 12:00pm	Cowell 3	2	Bella, Ian, Ellen
76	1	August 22, 2018, 10:00am	August 22, 2018, 12:00pm	Ravel 3	12	Soovin, Jay
77	1	August 22, 2018, 10:00am	August 22, 2018, 1:00pm	Pierrot – as needed	4	Space requested from VPR
78	1	August 22, 2018, 10:00am	August 22, 2018, 1:00pm	Pierrot – as needed	7	David, Fred, Josh, Steve, Jeewon, Lucy
79	8	August 22, 2018, 12:30pm	August 22, 2018, 1:10pm	Nick	2	Becky, Soovin, Steve L, Ed
80	8	August 22, 2018, 1:20pm	August 22, 2018, 2:00pm	Alex	2	Romie, Danny, Gloria
